ts,requests,bytes,status_200,status_300,status_400,status_500
1995-07-01 00:00:00-04:00,42,608453,39.0,3.0,0.0,0.0
1995-07-01 00:01:00-04:00,61,910128,57.0,3.0,1.0,0.0
1995-07-01 00:02:00-04:00,57,628556,46.0,11.0,0.0,0.0
1995-07-01 00:03:00-04:00,71,1747389,59.0,12.0,0.0,0.0
1995-07-01 00:04:00-04:00,70,1383149,66.0,4.0,0.0,0.0
1995-07-01 00:05:00-04:00,54,933859,48.0,6.0,0.0,0.0
1995-07-01 00:06:00-04:00,52,1153891,49.0,3.0,0.0,0.0
1995-07-01 00:07:00-04:00,68,1157827,66.0,2.0,0.0,0.0
1995-07-01 00:08:00-04:00,47,1113516,41.0,6.0,0.0,0.0
1995-07-01 00:09:00-04:00,46,681950,36.0,10.0,0.0,0.0
1995-07-01 00:10:00-04:00,51,563959,41.0,8.0,2.0,0.0
1995-07-01 00:11:00-04:00,71,1453436,61.0,10.0,0.0,0.0
1995-07-01 00:12:00-04:00,56,813448,47.0,9.0,0.0,0.0
1995-07-01 00:13:00-04:00,44,2729421,33.0,11.0,0.0,0.0
1995-07-01 00:14:00-04:00,20,551582,16.0,2.0,2.0,0.0
1995-07-01 00:15:00-04:00,5,44218,5.0,0.0,0.0,0.0
1995-07-01 00:16:00-04:00,82,1172487,69.0,13.0,0.0,0.0
1995-07-01 00:17:00-04:00,52,1602189,47.0,5.0,0.0,0.0
1995-07-01 00:18:00-04:00,63,777872,55.0,4.0,4.0,0.0
1995-07-01 00:19:00-04:00,80,962982,71.0,9.0,0.0,0.0
1995-07-01 00:20:00-04:00,80,1377856,78.0,2.0,0.0,0.0
1995-07-01 00:21:00-04:00,66,910533,64.0,2.0,0.0,0.0
1995-07-01 00:22:00-04:00,57,1765110,53.0,4.0,0.0,0.0
1995-07-01 00:23:00-04:00,62,1452247,52.0,10.0,0.0,0.0
1995-07-01 00:24:00-04:00,53,810214,47.0,6.0,0.0,0.0
1995-07-01 00:25:00-04:00,62,737964,55.0,6.0,1.0,0.0
1995-07-01 00:26:00-04:00,74,2293116,67.0,7.0,0.0,0.0
1995-07-01 00:27:00-04:00,85,1008559,79.0,6.0,0.0,0.0
1995-07-01 00:28:00-04:00,68,888624,55.0,13.0,0.0,0.0
1995-07-01 00:29:00-04:00,55,1295664,50.0,5.0,0.0,0.0
1995-07-01 00:30:00-04:00,65,2313639,60.0,5.0,0.0,0.0
1995-07-01 00:31:00-04:00,48,1306062,47.0,1.0,0.0,0.0
1995-07-01 00:32:00-04:00,65,1860233,59.0,6.0,0.0,0.0
1995-07-01 00:33:00-04:00,71,2464592,63.0,8.0,0.0,0.0
1995-07-01 00:34:00-04:00,77,1305503,69.0,8.0,0.0,0.0
1995-07-01 00:35:00-04:00,69,1214818,63.0,6.0,0.0,0.0
1995-07-01 00:36:00-04:00,59,1277554,55.0,4.0,0.0,0.0
1995-07-01 00:37:00-04:00,67,1535770,57.0,9.0,1.0,0.0
1995-07-01 00:38:00-04:00,87,1803226,71.0,15.0,1.0,0.0
1995-07-01 00:39:00-04:00,79,1192855,73.0,6.0,0.0,0.0
1995-07-01 00:40:00-04:00,62,1288695,60.0,2.0,0.0,0.0
1995-07-01 00:41:00-04:00,72,1412017,68.0,4.0,0.0,0.0
1995-07-01 00:42:00-04:00,67,1042341,56.0,11.0,0.0,0.0
1995-07-01 00:43:00-04:00,65,1397041,59.0,6.0,0.0,0.0
1995-07-01 00:44:00-04:00,53,1006478,47.0,4.0,2.0,0.0
1995-07-01 00:45:00-04:00,42,577218,35.0,3.0,4.0,0.0
1995-07-01 00:46:00-04:00,50,2405136,45.0,1.0,4.0,0.0
1995-07-01 00:47:00-04:00,23,1492581,18.0,5.0,0.0,0.0
1995-07-01 00:48:00-04:00,42,2306610,37.0,5.0,0.0,0.0
1995-07-01 00:49:00-04:00,48,516627,41.0,7.0,0.0,0.0
1995-07-01 00:50:00-04:00,57,1097817,50.0,7.0,0.0,0.0
1995-07-01 00:51:00-04:00,73,1804477,69.0,4.0,0.0,0.0
1995-07-01 00:52:00-04:00,59,2042930,53.0,6.0,0.0,0.0
1995-07-01 00:53:00-04:00,63,1280686,58.0,4.0,1.0,0.0
1995-07-01 00:54:00-04:00,55,2119639,48.0,7.0,0.0,0.0
1995-07-01 00:55:00-04:00,75,2606952,73.0,2.0,0.0,0.0
1995-07-01 00:56:00-04:00,61,1925008,57.0,4.0,0.0,0.0
1995-07-01 00:57:00-04:00,64,1094684,62.0,2.0,0.0,0.0
1995-07-01 00:58:00-04:00,50,2035260,47.0,2.0,1.0,0.0
1995-07-01 00:59:00-04:00,36,767421,33.0,3.0,0.0,0.0
1995-07-01 01:00:00-04:00,56,704620,43.0,13.0,0.0,0.0
1995-07-01 01:01:00-04:00,37,443921,32.0,5.0,0.0,0.0
1995-07-01 01:02:00-04:00,49,1777013,35.0,14.0,0.0,0.0
1995-07-01 01:03:00-04:00,30,364942,28.0,2.0,0.0,0.0
1995-07-01 01:04:00-04:00,69,1641193,53.0,16.0,0.0,0.0
1995-07-01 01:05:00-04:00,55,2089543,52.0,2.0,1.0,0.0
1995-07-01 01:06:00-04:00,60,2246585,53.0,7.0,0.0,0.0
1995-07-01 01:07:00-04:00,38,584851,37.0,1.0,0.0,0.0
1995-07-01 01:08:00-04:00,40,394442,39.0,1.0,0.0,0.0
1995-07-01 01:09:00-04:00,56,2114179,49.0,6.0,1.0,0.0
1995-07-01 01:10:00-04:00,59,1102830,55.0,4.0,0.0,0.0
1995-07-01 01:11:00-04:00,60,711428,56.0,4.0,0.0,0.0
1995-07-01 01:12:00-04:00,46,553572,34.0,12.0,0.0,0.0
1995-07-01 01:13:00-04:00,49,963289,47.0,2.0,0.0,0.0
1995-07-01 01:14:00-04:00,42,1455312,38.0,4.0,0.0,0.0
1995-07-01 01:15:00-04:00,55,1336022,46.0,9.0,0.0,0.0
1995-07-01 01:16:00-04:00,49,2003520,41.0,8.0,0.0,0.0
1995-07-01 01:17:00-04:00,36,1142408,35.0,1.0,0.0,0.0
1995-07-01 01:18:00-04:00,45,1343268,38.0,7.0,0.0,0.0
1995-07-01 01:19:00-04:00,29,488764,29.0,0.0,0.0,0.0
1995-07-01 01:20:00-04:00,45,903109,38.0,7.0,0.0,0.0
1995-07-01 01:21:00-04:00,50,2311460,44.0,6.0,0.0,0.0
1995-07-01 01:22:00-04:00,57,852329,54.0,3.0,0.0,0.0
1995-07-01 01:23:00-04:00,58,1603715,56.0,2.0,0.0,0.0
